Month,Borough,Equipment Type,Common Name,Total Outages,Scheduled Outages,Unscheduled Outages,Entrapments,Time Since Major Improvement,AM Peak Availability,AM Peak Hours Available,AM Peak Total Hours,PM Peak Availability,PM Peak Hours Available,PM Peak Total Hours,24-Hour Availability,24-Hour Hours Available,24-Hour Total Hours,Station Name,Station MRN,Station Complex Name,Station Complex MRN
1/1/23,Manhattan,Elevator,EL143,2,2,0,0,205.0,1.0,124.0,124.0,0.984543011,122.0833333,124.0,0.990367384,736.8333333,744.0,125ST-8AV-A/B/C/D,153,125 St - Station,153
1/1/23,Manhattan,Elevator,EL226,6,4,2,0,247.0,0.88655914,109.9333333,124.0,0.935483871,116.0,124.0,0.902598566,671.5333333,744.0,34ST-PENNSTATION-8AV-A/C/E,164,34 St-Penn Station - Station,164
1/1/23,Manhattan,Elevator,EL287X,0,0,0,0,,0.759005376,94.11666667,124.0,0.741935484,92.0,124.0,0.752844982,560.1166667,744.0,42ST-BRYANTPK-6AV-B/D/F/M,226,"42 St-Bryant Pk (B,D,F,M)/5 Av (7)",609
1/1/23,Bronx,Elevator,EL508,2,2,0,0,12.0,1.0,124.0,124.0,1.0,124.0,124.0,0.994982079,740.2666667,744.0,170ST-JER-4,387,170 St - Station,387
1/1/23,Manhattan,Elevator,EL279,1,1,0,0,159.0,1.0,124.0,124.0,1.0,124.0,124.0,0.993033154,738.8166667,744.0,59ST-COLUMBUSCIRCLE-8AV-A/B/C/D,161,"59 St-Columbus Circle (A,B,C,D,1)",614
1/1/23,Brooklyn,Elevator,EL320,8,6,2,1,8.0,0.942607527,116.8833333,124.0,0.967741935,120.0,124.0,0.949977599,706.7833333,744.0,CHURCHAV-NOS-2/5,356,Church Av - Station,356
1/1/23,Manhattan,Elevator,EL244,4,2,2,0,32.0,1.0,124.0,124.0,1.0,124.0,124.0,0.987163978,734.45,744.0,GRANDCENTRAL-42ST-FLS-7,465,"Grand Central-42 St (S,4,5,6,7)",610
1/1/23,Manhattan,Elevator,EL110,2,2,0,0,14.0,1.0,124.0,124.0,1.0,124.0,124.0,0.992069892,738.1,744.0,181ST-BWY7-1,301,181 St - Station,301
1/1/23,Manhattan,Elevator,EL236,2,1,1,0,166.0,1.0,124.0,124.0,1.0,124.0,124.0,0.991173835,737.4333333,744.0,47-50STS-ROCKEFELLERCTR-6AV-B/D/F/M,225,47-50 Sts-Rockefeller Ctr - Station,225
1/1/23,Manhattan,Elevator,EL601,13,5,8,0,88.0,0.961021505,119.1666667,124.0,0.959005376,118.9166667,124.0,0.947334229,704.8166667,744.0,34ST-HUDSONYARDS-FLS-7,471,34 St-Hudson Yards - Station,471
